Rank,Team,Country,Value ($M),"Debt as
% of value","% change
on year",Revenue ($M)
1,Real Madrid,Spain,"3,645",3,12,694
2,Barcelona,Spain,"3,549",2,12,675
3,Manchester United,England,"3,317",20,7,625
4,Bayern Munich,Germany,"2,678",0,14,570
5,Arsenal,England,"2,017",17,54,524
6,Manchester City,England,"1,921",0,40,558
7,Chelsea,England,"1,661",0,21,505
8,Liverpool,England,"1,548",5,58,471
9,Juventus,Italy,"1,299",4,55,390
10,Tottenham Hotspur,England,"1,017",2,69,310
11,Borussia Dortmund,Germany,836,0,19,338
12,Milan,Italy,825,32,6,240
13,Paris Saint-Germain,France,814,0,28,578
14,Schalke 04,Germany,655,21,15,264
15,Atlético Madrid,Spain,633,22,45,225
16,Internazionale,Italy,559,43,27,198
17,West Ham United,England,542,6,76,194
18,Roma,Italy,508,36,N/A,217
19,Napoli,Italy,396,0,12,151
20,Newcastle United,England,383,0,10,104
